url,domainStart,domainEnd,sslStart,sslEnd,sslIssuer,label
lokus,1032,792,13,77,Let's Encrypt,0
setacelik,1934,256,2,88,Let's Encrypt,0
bacamak,3955,425,39,51,Let's Encrypt,0
soneracar,3751,630,261,103,"Cloudflare, Inc.",0
sunardekorasyon,2858,428,55,35,Let's Encrypt,0
rotahavuz,1194,630,1,89,Let's Encrypt,0
rekofarma,4069,312,70,20,"cPanel, Inc.",0
brisa,9977,613,275,122,GlobalSign nv-sa,0
ihr,2082,107,-1,-1,,0
argus,8977,153,-1,-1,,0
ensarnesriyat,6672,266,39,51,"cPanel, Inc.",0
canbeton,3424,227,42,48,Let's Encrypt,0
yemsan,6878,425,2,88,Let's Encrypt,0
prontoauto,746,1078,59,31,Let's Encrypt,0
mines,2921,365,1,89,Let's Encrypt,0
gulerlerelektrik,5639,203,14,76,Let's Encrypt,0
stitravel,4424,688,-1,-1,,0
altinordu,9499,361,10,80,Let's Encrypt,0
otokira,3900,116,-1,-1,,0
ture,5954,254,6,84,Let's Encrypt,0
taksim360,2656,1359,21,69,Let's Encrypt,0
antakyapi,1849,341,13,77,Let's Encrypt,0
templeton,4498,249,16,74,Google Trust Services LLC,0
sterimedic,959,865,58,32,Let's Encrypt,0
zoovet,2038,882,27,63,Let's Encrypt,0
dalgac,928,166,42,48,Let's Encrypt,0
kasapoglu,4189,192,26,64,Let's Encrypt,0
roton,3363,288,11,79,Let's Encrypt,0
starraf,5068,43,22,68,Let's Encrypt,0
vitavien,2026,164,-1,-1,,0
esila,3712,1034,52,38,Let's Encrypt,0
mrwasch,2062,1223,19,71,Let's Encrypt,0
viphirdavat,3285,365,252,112,"Cloudflare, Inc.",0
sine,5425,782,-1,-1,,0
euroivf,2219,701,-1,-1,,0
dalzemin,1838,1813,49,41,Let's Encrypt,0
hasantosun,3507,874,17,73,Let's Encrypt,0
aykymm,6808,130,15,75,Let's Encrypt,0
rasitseran,1746,78,32,58,Let's Encrypt,0
natco,8486,278,-1,-1,,0
aquatime,2404,151,21,69,Let's Encrypt,0
sampaihracat,1473,352,10,80,Let's Encrypt,0
sanomed,6909,394,315,50,Sectigo Limited,0
reformak,1780,44,60,30,Let's Encrypt,0
sislicicek,2379,176,23,67,Let's Encrypt,0
orucinsaat,4253,128,2,88,Let's Encrypt,0
mrtmetal,1030,63,24,66,Let's Encrypt,0
bogazkagit,4326,55,32,58,Let's Encrypt,0
kyn,5023,454,59,31,Let's Encrypt,0
evleniyorum,443,286,-1,-1,,0
onaltarim,2013,177,36,54,Let's Encrypt,0
mytekstil,1747,77,15,75,Let's Encrypt,0
pantene,8618,146,350,42,"Entrust, Inc.",0
aycmimarlik,3425,226,32,58,Google Trust Services LLC,0
keopsmobilya,5387,90,38,52,Let's Encrypt,0
haliltenik,1534,291,-1,-1,,0
fiore,3318,333,-1,-1,,0
dadicmimarlik,2627,293,-1,-1,,0
poshet,1855,335,66,24,ZeroSSL,0
diyetcin,787,307,56,34,Let's Encrypt,0
ahmetozkaya,2986,300,59,31,Let's Encrypt,0
gncreklam,1289,1631,0,365,Sectigo Limited,0
hundredpercent,6881,56,15,75,Let's Encrypt,0
skalla,3566,84,6,84,Let's Encrypt,0
devas,6079,1224,347,18,Sectigo Limited,0
anubis,875,584,8,82,Google Trust Services LLC,0
kuyumcumetin,1513,312,53,37,Let's Encrypt,0
maaxweal,2158,31,30,60,Google Trust Services LLC,0
reed,4599,148,-1,-1,,0
polosu,1250,939,44,321,"Cloudflare, Inc.",0
seagarden,1715,475,10,80,Let's Encrypt,0
istbeyazesyaservis,583,146,49,41,Google Trust Services LLC,0
digiturkplay,4412,335,-1,-1,,0
bstmetal,1632,193,59,31,Let's Encrypt,0
mustakbilgili,2059,496,20,70,Google Trust Services LLC,0
izmirkalip,7940,824,62,28,"cPanel, Inc.",0
isobelgeleri,3462,189,46,44,Let's Encrypt,0
atlasegitim,6381,557,4,86,Let's Encrypt,0
mavias,3710,671,35,55,Let's Encrypt,0
favana,1760,64,52,38,Let's Encrypt,0
diesel,5038,73,32,58,Let's Encrypt,0
oltaseti,891,203,5,85,"cPanel, Inc.",0
kartalmakina,2594,326,26,64,Google Trust Services LLC,0
simalavm,1429,396,24,66,Google Trust Services LLC,0
milestonelastik,4481,631,-1,-1,,0
reklamx,4095,286,-1,-1,,0
komporize,1915,275,58,32,Let's Encrypt,0
amirguvenlik,2578,1072,-1,-1,,0
kidsroom,1750,74,26,64,Let's Encrypt,0
beytem,1534,291,8,82,Let's Encrypt,0
gerdwolff,5202,275,22,68,Let's Encrypt,0
yalcineldogan,251,113,14,76,Google Trust Services LLC,0
ekbay,1214,245,-1,-1,,0
etiketdunyasi,3097,189,54,36,Let's Encrypt,0
kodline,1122,337,-1,-1,,0
asyaturknakliyat,2347,208,-1,-1,,0
dermazen,1024,435,7,83,"cPanel, Inc.",0
bestepesucuk,1816,1835,-1,-1,,0
celsancelik,6919,18,296,69,Sectigo Limited,0
hyperion,3250,1496,29,61,Let's Encrypt,0
archidea,777,317,18,72,Let's Encrypt,0
rozehome,737,357,53,37,Let's Encrypt,0
esergida,7211,822,5,85,Let's Encrypt,0
pixelnet,2962,689,23,67,Let's Encrypt,0
haskanmakina,2689,231,34,56,Let's Encrypt,0
batuta,6518,54,-1,-1,,0
bvt,9403,92,16,74,Let's Encrypt,0
cashuexchange,631,463,19,71,Let's Encrypt,0
kinalienerji,1084,375,21,69,Let's Encrypt,0
seyahat,4880,1327,-1,-1,,0
bilginbd,2466,88,60,30,Let's Encrypt,0
arianus,1474,-15,-1,-1,,0
artidemir,658,1166,-1,-1,,0
driptime,1009,84,44,46,Let's Encrypt,0
machineryline,1962,593,2,88,Let's Encrypt,0
ttsambalaj,666,793,20,70,Let's Encrypt,0
asav,3297,1084,-1,-1,,0
turgutfirat,1603,222,-1,-1,,0
ataysigorta,6087,486,35,55,Let's Encrypt,0
3dvideo,443,1016,-1,-1,,0
nimetex,1493,332,32,58,Let's Encrypt,0
tavus,8841,289,27,63,Google Trust Services LLC,0
gundemmagazin,870,954,8,82,Let's Encrypt,0
7amalimusavirlik,1464,361,20,70,Google Trust Services LLC,0
megafren,1110,1810,42,48,"cPanel, Inc.",0
fatmahatun,4075,1401,-1,-1,,0
ozdenduzgun,1397,428,260,104,"Cloudflare, Inc.",0
ua,4244,502,179,186,Sectigo Limited,0
reaction,4446,666,44,46,Let's Encrypt,0
ozcinarlar,7904,495,28,62,"cPanel, Inc.",0
zihnialdirmaz,753,-25,-1,-1,,0
diskyay,4561,1647,72,18,"cPanel, Inc.",0
hedeffiltre,2534,1116,49,41,Let's Encrypt,0
mehmetyakuppala,1354,470,37,53,Let's Encrypt,0
skype,5399,77,-1,-1,,0
hatfiber,1695,130,57,33,Google Trust Services LLC,0
mistercamper,1199,625,-1,-1,,0
magicgreen,2678,242,-1,-1,,0
kalmet,5666,541,25,65,Let's Encrypt,0
zirvemtasimacilik,2797,123,-1,-1,,0
aghotels,1281,178,25,65,Google Trust Services LLC,0
dilmer,1625,1295,-1,-1,,0
sal,8197,567,286,79,Sectigo Limited,0
designon,2263,292,20,70,Sectigo Limited,0
fampa,7651,17,55,35,Let's Encrypt,0
kayamaktek,1680,875,37,53,Let's Encrypt,0
bigjoy,3150,1231,-1,-1,,0
ies,4425,322,1,89,Let's Encrypt,0
ledina,2118,71,304,61,Sectigo Limited,0
niceguvenlik,2523,762,-1,-1,,0
ayfoto,1862,1058,44,321,"Cloudflare, Inc.",0
globalhavuz,1165,294,39,51,Let's Encrypt,0
inoventis,674,54,32,58,Let's Encrypt,0
profilo-elektronik,8946,184,34,56,"cPanel, Inc.",0
panteknoloji,707,387,10,80,Let's Encrypt,0
qualitytarim,980,114,14,76,Let's Encrypt,0
cozumyapi,5601,606,-1,-1,,0
actech,1627,198,54,36,Let's Encrypt,0
aktifkimya,6106,467,-1,-1,,0
ozhasbingol,1507,318,22,68,Let's Encrypt,0
biajeans,884,940,50,40,Let's Encrypt,0
almilasen,812,1012,6,84,Let's Encrypt,0
camlikgayrimenkul,3775,241,-1,-1,,0
