url,domainStart,domainEnd,sslStart,sslEnd,sslIssuer,label,dlPhishingScore
promocity,5798,1140,252,112,"Cloudflare, Inc.",0,0.05568748
rentatoyota,2695,225,-1,-1,,0,0.16919914
sarto,7764,1000,225,140,Sectigo Limited,0,0.03995677
sincap,8407,1087,256,108,"Cloudflare, Inc.",0,0.12458824
prosec,7119,549,-1,-1,,0,0.048717745
fipss,830,264,53,37,Let's Encrypt,0,0.28230157
anilcan,6454,484,-1,-1,,0,0.015789703
vitalya,735,359,39,51,Google Trust Services LLC,0,0.09506963
turkiyepromosyon,4078,-63,-1,-1,,0,0.05330596
gelcoat,1285,174,9,81,"cPanel, Inc.",0,0.28713164
ozc,3781,235,27,63,Let's Encrypt,0,0.030958945
spesifik,2023,167,46,44,Let's Encrypt,0,0.5545615
comas,2415,140,57,33,Sectigo Limited,0,0.15873651
splashworks,1046,413,18,72,Google Trust Services LLC,0,0.10032277
ersinsarisoy,1589,1697,3,87,Google Trust Services LLC,0,0.08722698
capoglu,6156,51,33,57,Let's Encrypt,0,0.0049027856
byoztek,676,52,-1,-1,,0,0.016917888
2go,4687,59,-1,-1,,0,0.12711354
waggle,1099,725,-1,-1,,0,0.13333154
tokosan,7532,502,25,65,Let's Encrypt,0,0.21613893
karzen,660,1164,19,71,Google Trust Services LLC,0,0.018903006
uzelenerji,1099,725,57,33,Let's Encrypt,0,0.0020872182
cizgikare,3084,202,42,323,"Cloudflare, Inc.",0,0.071150996
yilsanyapi,2376,179,41,49,Let's Encrypt,0,0.0025904027
havlucuadam,2248,307,30,60,Let's Encrypt,0,0.1564324
loncabelgelendirme,2445,110,45,45,"cPanel, Inc.",0,0.009646604
yasbinsaat,2187,2,49,41,Let's Encrypt,0,0.0051985136
elseteknik,2338,947,23,67,Google Trust Services LLC,0,0.0051379264
kentet,2212,1438,33,57,Let's Encrypt,0,0.050849885
hiwda,2327,228,-1,-1,,0,0.10599617
jabbar,2460,1556,27,63,Let's Encrypt,0,0.26286578
anason,1065,28,0,90,Let's Encrypt,0,0.04863459
omerdemirci,1663,527,30,60,Let's Encrypt,0,0.0012766327
arvenaydinlatma,1988,202,58,32,Let's Encrypt,0,0.001127661
nanomanyetik,2796,854,10,80,Let's Encrypt,0,0.0086437315
imparatorhaliyikama,3333,318,51,39,Let's Encrypt,0,0.13702089
ilkhaber,4876,236,46,44,Google Trust Services LLC,0,0.09787073
maxplay,3035,616,8,82,Let's Encrypt,0,0.09625154
pusulayapiinsaat,4192,189,-1,-1,,0,0.0017758023
turmobeimza,2107,1178,-1,-1,,0,0.19751485
aydoganecza,4573,174,-1,-1,,0,0.03963949
smmmbayramerat,673,55,26,64,Let's Encrypt,0,0.37913638
eko,9770,1551,-1,-1,,0,0.084543854
siestahotel,3475,176,-1,-1,,0,0.013425721
smart-tech,1162,297,49,41,Let's Encrypt,0,0.016903888
bozkayalar,4874,238,49,41,Let's Encrypt,0,0.014424772
gthkalip,3872,509,-1,-1,,0,0.004905531
klslight,1463,362,13,77,Let's Encrypt,0,0.2751246
greendocs,1506,1049,36,54,Google Trust Services LLC,0,0.18471873
kenanakgun,983,111,33,57,Let's Encrypt,0,0.010530914
arber,7374,660,37,53,Let's Encrypt,0,0.012578042
stardiyarbakir,6920,383,53,37,Let's Encrypt,0,0.0070411656
arkekotanyapi,3879,1598,3,87,Let's Encrypt,0,0.002321301
selcukluemlak,3006,280,46,44,Let's Encrypt,0,0.009760744
ispirler,207,157,-1,-1,,0,0.2034142
webdesk,960,1595,58,32,Let's Encrypt,0,0.22376816
asoto,7961,1533,176,189,Sectigo Limited,0,0.09162033
biz-global,2412,508,55,35,Let's Encrypt,0,0.4768835
cagalogluyayinevi,1646,179,44,321,"Cloudflare, Inc.",0,0.0005736114
vakifane,1899,291,45,45,Let's Encrypt,0,0.53152263
sinova,5748,1189,-1,-1,,0,0.009533353
olguosgb,3452,199,54,36,Let's Encrypt,0,0.0015874708
mormenekse,5372,105,4,86,Let's Encrypt,0,0.014735314
aydinay,7031,272,-1,-1,,0,0.061361916
uzeambalaj,3944,71,63,27,ZeroSSL,0,0.0005797217
asyaorme,5131,346,12,78,Let's Encrypt,0,0.06970131
bucadent,1576,249,41,49,Let's Encrypt,0,0.075971775
endemix,5869,339,-1,-1,,0,0.051921546
dolmus,443,651,-1,-1,,0,0.08820599
masatakvimi,1302,522,32,58,Let's Encrypt,0,0.04064273
gokdogantel,5387,90,40,50,Let's Encrypt,0,0.0021549556
alnakhil,902,922,40,50,Let's Encrypt,0,0.0051477095
dcdanismanlik,5427,49,32,58,Let's Encrypt,0,0.004441724
bioege,925,169,29,61,"cPanel, Inc.",0,0.15430273
dolunayfilo,3979,1132,284,81,Sectigo Limited,0,0.22730131
simetriyapi,2479,805,40,50,Let's Encrypt,0,0.0032458787
art-map,830,264,327,38,Sectigo Limited,0,0.24947838
nurpastaneleri,2082,108,37,53,Let's Encrypt,0,0.017933857
yasaryakis,4501,246,17,73,Let's Encrypt,0,0.0038295428
orhanfindik,802,292,54,36,Let's Encrypt,0,0.008189211
xpro,663,65,306,58,"Cloudflare, Inc.",0,0.121727444
karmosan,3161,125,55,35,Let's Encrypt,0,0.007524741
healthistanbul,3422,1690,60,30,Let's Encrypt,0,0.16189691
ergansigorta,4448,299,46,44,Sectigo Limited,0,0.0015238741
inba,3496,155,6,84,Let's Encrypt,0,0.047386155
doraelektronik,3966,49,44,321,"Cloudflare, Inc.",0,0.0026273096
shinesilver,389,1435,51,39,Let's Encrypt,0,0.08129499
biohumus,3284,367,-1,-1,,0,0.095144704
rnoffice,1668,157,13,77,Let's Encrypt,0,0.14318489
sohbethatti,2074,116,-1,-1,,0,0.1217737
beysukent,6308,265,0,365,Sectigo Limited,0,0.0069596223
juppo,1332,127,32,58,Let's Encrypt,0,0.08655793
gelisimatolyesi,1611,214,41,49,Let's Encrypt,0,0.0034640671
ilkercolak,4259,122,24,66,Let's Encrypt,0,0.0014667859
papuckolik,822,272,-1,-1,,0,0.18550892
dogrusozmetal,1459,0,45,45,Let's Encrypt,0,0.0019916212
sosdanismanlik,1228,596,122,243,Isimtescil Bilisim A.S.,0,0.0038877567
birolticaret,4601,146,58,32,Let's Encrypt,0,0.002069289
etikplastik,1725,100,6,84,Let's Encrypt,0,0.0031864978
dgtek,2467,453,16,74,Sectigo Limited,0,0.039802883
kucuktatliseyler,518,211,-1,-1,,0,0.007816761
ciftciburada,1232,227,11,79,Google Trust Services LLC,0,0.21437113
atacar,903,191,53,37,Sectigo Limited,0,0.014972761
ambumed,2927,1454,27,63,Google Trust Services LLC,0,0.42201185
marmarisweb,1569,256,-1,-1,,0,0.2192014
metecan,1711,114,3,87,Let's Encrypt,0,0.02302868
flamagumruk,60,669,56,34,Let's Encrypt,0,0.0074537187
teksubaglanti,2230,325,-1,-1,,0,0.003330084
vitalmedikal,6989,1409,41,49,Let's Encrypt,0,0.0019870563
gibibyte,3179,107,35,55,Let's Encrypt,0,0.23536685
etala,1526,299,50,40,Let's Encrypt,0,0.10881122
yskplastik,3692,324,-1,-1,,0,0.0018319329
mertgroup,4307,1901,16,74,Let's Encrypt,0,0.004505708
mikogida,3248,403,-1,-1,,0,0.024254743
kumasistan,2038,152,-1,-1,,0,0.027998492
aykarlarcam,1512,313,2,88,Let's Encrypt,0,0.07521178
muratbuyukcan,2600,1050,30,60,Let's Encrypt,0,0.0019048897
maxkozmetik,2537,1113,1,89,"cPanel, Inc.",0,0.005364919
tamamlayicisagliksigortasi,3784,597,48,42,Google Trust Services LLC,0,0.52331483
erelsavunma,753,341,30,60,Let's Encrypt,0,0.0013257387
edblogistics,995,99,35,55,Let's Encrypt,0,0.214787
tumkar,2409,1241,123,242,Sectigo Limited,0,0.07056266
hasmakina,6031,177,-1,-1,,0,0.0017337366
